variable_name;meaning
stdntid;STUDENT ID
gender;STUDENT GENDER
race;STUDENT RACE/ETHNICITY
birthmonth;STUDENT MONTH OF BIRTH
birthday;STUDENT DAY OF BIRTH
birthyear;STUDENT YEAR OF BIRTH
FLAGSGK;IN STAR IN KINDERGARTEN
FLAGSG1;IN STAR IN GRADE 1
FLAGSG2;IN STAR IN GRADE 2
FLAGSG3;IN STAR IN GRADE 3
flaggk;ACHIEVEMENT DATA AVAILABLE GRADE K
flagg1;ACHIEVEMENT DATA AVAILABLE GRADE 1
flagg2;ACHIEVEMENT DATA AVAILABLE GRADE 2
flagg3;ACHIEVEMENT DATA AVAILABLE GRADE 3
flagg4;ACHIEVEMENT DATA AVAILABLE GRADE 4
flagg5;ACHIEVEMENT DATA AVAILABLE GRADE 5
flagg6;ACHIEVEMENT DATA AVAILABLE GRADE 6
flagg7;ACHIEVEMENT DATA AVAILABLE GRADE 7
flagg8;ACHIEVEMENT DATA AVAILABLE GRADE 8
flagprt4;IN PARTICIPATION STUDY GRADE 4
flagidn8;IN IDENTIFICATION STUDY GRADE 8
flagprt8;IN PARTICIPATION STUDY GRADE 8
flagsatact;VALID SAT/ACT SCORE AVAILABLE
flaghscourse;AT LEAST ONE YEAR OF HIGH SCHOOL COURSE DATA AVAILABLE
flaghsgraduate;DATA ON HIGH SCHOOL GRADUATION STATUS AVAILABLE
gkclasstype;CLASSROOM TYPE KINDERGARTEN
g1classtype;CLASSROOM TYPE GRADE 1
g2classtype;CLASSROOM TYPE GRADE 2
g3classtype;CLASSROOM TYPE GRADE 3
cmpstype;CLASS TYPE COMPOSITE
cmpsdura;DURATION COMPOSITE
yearsstar;NUMBER OF YEARS IN STAR
yearssmall;NUMBER OF YEARS IN SMALL CLASSES
gkschid;KINDERGARTEN SCHOOL ID
gksurban;SCHOOL URBANICITY KINDERGARTEN
gktchid;KINDERGARTEN TEACHER ID
gktgen;TEACHER GENDER KINDERGARTEN
gktrace;TEACHER RACE/ETHNICITY KINDERGARTEN
gkthighdegree;TEACHER HIGHEST DEGREE KINDERGARTEN
gktcareer;TEACHER CAREER LADDER LEVEL KINDERGARTEN
gktyears;YEARS OF TOTAL TEACHING EXPERIENCE KINDERGARTEN
gkclasssize;CLASS SIZE KINDERGARTEN
gkfreelunch;FREE/REDUCED LUNCH STATUS KINDERGARTEN
gkrepeat;REPEATING KINDERGARTEN IN 1985-1986 SCHOOL YEAR
gkspeced;SPECIAL EDUCATION STATUS KINDERGARTEN
